index	block_id	loader_family	x	y	z
96	chisel:dent/orange_concrete	ctm	-64	100	-74
97	chisel:dent/pink_concrete	ctm	-62	100	-74
98	chisel:dent/prismarine	ctm	-60	100	-74
99	chisel:dent/purple_concrete	ctm	-58	100	-74
100	chisel:dent/purpur	ctm	-56	100	-74
101	chisel:dent/quartz	ctm	-54	100	-74
102	chisel:dent/red_concrete	ctm	-52	100	-74
103	chisel:dent/red_sandstone	ctm	-50	100	-74
104	chisel:dent/redstone_block	ctm	-48	100	-74
105	chisel:dent/sandstone	ctm	-46	100	-74
106	chisel:dent/stone	ctm	-44	100	-74
107	chisel:dent/white_concrete	ctm	-42	100	-74
108	chisel:dent/yellow_concrete	ctm	-40	100	-74
109	chisel:encased/acacia_planks	ctm	-38	100	-74
110	chisel:encased/birch_planks	ctm	-36	100	-74
111	chisel:encased/crimson_planks	ctm	-34	100	-74
112	chisel:encased/dark_oak_planks	ctm	-32	100	-74
113	chisel:encased/jungle_planks	ctm	-30	100	-74
114	chisel:encased/oak_planks	ctm	-28	100	-74
115	chisel:encased/spruce_planks	ctm	-72	100	-72
116	chisel:encased_bricks/andesite	ctm	-70	100	-72
117	chisel:encased_bricks/black_concrete	ctm	-68	100	-72
118	chisel:encased_bricks/blue_concrete	ctm	-66	100	-72
119	chisel:encased_bricks/bricks	ctm	-64	100	-72
120	chisel:encased_bricks/brown_concrete	ctm	-62	100	-72
121	chisel:encased_bricks/coal_block	ctm	-60	100	-72
122	chisel:encased_bricks/cobblestone	ctm	-58	100	-72
123	chisel:encased_bricks/cyan_concrete	ctm	-56	100	-72
124	chisel:encased_bricks/deepslate	ctm	-54	100	-72
125	chisel:encased_bricks/diorite	ctm	-52	100	-72
126	chisel:encased_bricks/end_stone	ctm	-50	100	-72
127	chisel:encased_bricks/glowstone	ctm	-48	100	-72
128	chisel:encased_bricks/granite	ctm	-46	100	-72
129	chisel:encased_bricks/gray_concrete	ctm	-44	100	-72
130	chisel:encased_bricks/green_concrete	ctm	-42	100	-72
131	chisel:encased_bricks/ice	ctm	-40	100	-72
132	chisel:encased_bricks/light_blue_concrete	ctm	-38	100	-72
133	chisel:encased_bricks/light_gray_concrete	ctm	-36	100	-72
134	chisel:encased_bricks/lime_concrete	ctm	-34	100	-72
135	chisel:encased_bricks/magenta_concrete	ctm	-32	100	-72
136	chisel:encased_bricks/orange_concrete	ctm	-30	100	-72
137	chisel:encased_bricks/pink_concrete	ctm	-28	100	-72
138	chisel:encased_bricks/prismarine	ctm	-72	100	-70
139	chisel:encased_bricks/purple_concrete	ctm	-70	100	-70
140	chisel:encased_bricks/purpur	ctm	-68	100	-70
141	chisel:encased_bricks/quartz	ctm	-66	100	-70
142	chisel:encased_bricks/red_concrete	ctm	-64	100	-70
143	chisel:encased_bricks/red_sandstone	ctm	-62	100	-70
144	chisel:encased_bricks/redstone_block	ctm	-60	100	-70
145	chisel:encased_bricks/sandstone	ctm	-58	100	-70
146	chisel:encased_bricks/stone	ctm	-56	100	-70
147	chisel:encased_bricks/white_concrete	ctm	-54	100	-70
148	chisel:encased_bricks/yellow_concrete	ctm	-52	100	-70
149	chisel:encased_large/acacia_planks	ctm	-50	100	-70
150	chisel:encased_large/birch_planks	ctm	-48	100	-70
151	chisel:encased_large/crimson_planks	ctm	-46	100	-70
152	chisel:encased_large/dark_oak_planks	ctm	-44	100	-70
153	chisel:encased_large/jungle_planks	ctm	-42	100	-70
154	chisel:encased_large/oak_planks	ctm	-40	100	-70
155	chisel:encased_large/spruce_planks	ctm	-38	100	-70
156	chisel:encased_smooth/acacia_planks	ctm	-36	100	-70
157	chisel:encased_smooth/birch_planks	ctm	-34	100	-70
158	chisel:encased_smooth/crimson_planks	ctm	-32	100	-70
159	chisel:encased_smooth/dark_oak_planks	ctm	-30	100	-70
160	chisel:encased_smooth/jungle_planks	ctm	-28	100	-70
161	chisel:encased_smooth/oak_planks	ctm	-72	100	-68
162	chisel:encased_smooth/spruce_planks	ctm	-70	100	-68
163	chisel:jellybean/andesite	giant	-68	100	-68
164	chisel:jellybean/black_concrete	giant	-66	100	-68
165	chisel:jellybean/blue_concrete	giant	-64	100	-68
166	chisel:jellybean/bricks	giant	-62	100	-68
167	chisel:jellybean/brown_concrete	giant	-60	100	-68
168	chisel:jellybean/coal_block	giant	-58	100	-68
169	chisel:jellybean/cobblestone	giant	-56	100	-68
170	chisel:jellybean/cyan_concrete	giant	-54	100	-68
171	chisel:jellybean/deepslate	giant	-52	100	-68
172	chisel:jellybean/diorite	giant	-50	100	-68
173	chisel:jellybean/end_stone	giant	-48	100	-68
174	chisel:jellybean/glowstone	giant	-46	100	-68
175	chisel:jellybean/granite	giant	-44	100	-68
176	chisel:jellybean/gray_concrete	giant	-42	100	-68
177	chisel:jellybean/green_concrete	giant	-40	100	-68
178	chisel:jellybean/ice	giant	-38	100	-68
179	chisel:jellybean/light_blue_concrete	giant	-36	100	-68
180	chisel:jellybean/light_gray_concrete	giant	-34	100	-68
181	chisel:jellybean/lime_concrete	giant	-32	100	-68
182	chisel:jellybean/magenta_concrete	giant	-30	100	-68
183	chisel:jellybean/orange_concrete	giant	-28	100	-68
184	chisel:jellybean/pink_concrete	giant	-72	100	-66
185	chisel:jellybean/prismarine	giant	-70	100	-66
186	chisel:jellybean/purple_concrete	giant	-68	100	-66
187	chisel:jellybean/purpur	giant	-66	100	-66
188	chisel:jellybean/quartz	giant	-64	100	-66
189	chisel:jellybean/red_concrete	giant	-62	100	-66
190	chisel:jellybean/red_sandstone	giant	-60	100	-66
191	chisel:jellybean/redstone_block	giant	-58	100	-66
192	chisel:jellybean/sandstone	giant	-56	100	-66
193	chisel:jellybean/stone	giant	-54	100	-66
194	chisel:jellybean/white_concrete	giant	-52	100	-66
195	chisel:jellybean/yellow_concrete	giant	-50	100	-66
196	chisel:large/acacia_planks	ctm	-48	100	-66
197	chisel:large/birch_planks	ctm	-46	100	-66
198	chisel:large/crimson_planks	ctm	-44	100	-66
199	chisel:large/dark_oak_planks	ctm	-42	100	-66
200	chisel:large/jungle_planks	ctm	-40	100	-66
201	chisel:large/oak_planks	ctm	-38	100	-66
202	chisel:large/spruce_planks	ctm	-36	100	-66
203	chisel:large_tile/andesite	ctm	-34	100	-66
204	chisel:large_tile/black_concrete	ctm	-32	100	-66
205	chisel:large_tile/blue_concrete	ctm	-30	100	-66
206	chisel:large_tile/bricks	ctm	-28	100	-66
207	chisel:large_tile/brown_concrete	ctm	-72	100	-64
208	chisel:large_tile/coal_block	ctm	-70	100	-64
209	chisel:large_tile/cobblestone	ctm	-68	100	-64
210	chisel:large_tile/cyan_concrete	ctm	-66	100	-64
211	chisel:large_tile/deepslate	ctm	-64	100	-64
212	chisel:large_tile/diorite	ctm	-62	100	-64
213	chisel:large_tile/end_stone	ctm	-60	100	-64
214	chisel:large_tile/glowstone	ctm	-58	100	-64
215	chisel:large_tile/granite	ctm	-56	100	-64
216	chisel:large_tile/gray_concrete	ctm	-54	100	-64
217	chisel:large_tile/green_concrete	ctm	-52	100	-64
218	chisel:large_tile/ice	ctm	-50	100	-64
219	chisel:large_tile/light_blue_concrete	ctm	-48	100	-64
220	chisel:large_tile/light_gray_concrete	ctm	-46	100	-64
221	chisel:large_tile/lime_concrete	ctm	-44	100	-64
222	chisel:large_tile/magenta_concrete	ctm	-42	100	-64
223	chisel:large_tile/orange_concrete	ctm	-40	100	-64
224	chisel:large_tile/pink_concrete	ctm	-38	100	-64
225	chisel:large_tile/prismarine	ctm	-36	100	-64
226	chisel:large_tile/purple_concrete	ctm	-34	100	-64
227	chisel:large_tile/purpur	ctm	-32	100	-64
228	chisel:large_tile/quartz	ctm	-30	100	-64
229	chisel:large_tile/red_concrete	ctm	-28	100	-64
230	chisel:large_tile/red_sandstone	ctm	-72	100	-62
231	chisel:large_tile/redstone_block	ctm	-70	100	-62
232	chisel:large_tile/sandstone	ctm	-68	100	-62
233	chisel:large_tile/stone	ctm	-66	100	-62
234	chisel:large_tile/white_concrete	ctm	-64	100	-62
235	chisel:large_tile/yellow_concrete	ctm	-62	100	-62
236	chisel:legacy/black_wool	ctm	-60	100	-62
237	chisel:legacy/blue_wool	ctm	-58	100	-62
238	chisel:legacy/brown_wool	ctm	-56	100	-62
239	chisel:legacy/cyan_wool	ctm	-54	100	-62
240	chisel:legacy/gray_wool	ctm	-52	100	-62
241	chisel:legacy/green_wool	ctm	-50	100	-62
242	chisel:legacy/light_blue_wool	ctm	-48	100	-62
243	chisel:legacy/light_gray_wool	ctm	-46	100	-62
244	chisel:legacy/lime_wool	ctm	-44	100	-62
245	chisel:legacy/magenta_wool	ctm	-42	100	-62
246	chisel:legacy/orange_wool	ctm	-40	100	-62
247	chisel:legacy/pink_wool	ctm	-38	100	-62
248	chisel:legacy/purple_wool	ctm	-36	100	-62
249	chisel:legacy/red_wool	ctm	-34	100	-62
250	chisel:legacy/white_wool	ctm	-32	100	-62
251	chisel:legacy/yellow_wool	ctm	-30	100	-62
252	chisel:light/glass	ctm	-28	100	-62
253	chisel:llama/black_wool	ctm	-72	100	-60
254	chisel:llama/blue_wool	ctm	-70	100	-60
255	chisel:llama/brown_wool	ctm	-68	100	-60
256	chisel:llama/cyan_wool	ctm	-66	100	-60
257	chisel:llama/gray_wool	ctm	-64	100	-60
258	chisel:llama/green_wool	ctm	-62	100	-60
259	chisel:llama/light_blue_wool	ctm	-60	100	-60
260	chisel:llama/light_gray_wool	ctm	-58	100	-60
261	chisel:llama/lime_wool	ctm	-56	100	-60
262	chisel:llama/magenta_wool	ctm	-54	100	-60
263	chisel:llama/orange_wool	ctm	-52	100	-60
264	chisel:llama/pink_wool	ctm	-50	100	-60
265	chisel:llama/purple_wool	ctm	-48	100	-60
266	chisel:llama/red_wool	ctm	-46	100	-60
267	chisel:llama/white_wool	ctm	-44	100	-60
268	chisel:llama/yellow_wool	ctm	-42	100	-60
269	chisel:log_bordered/acacia_planks	ctm	-40	100	-60
270	chisel:log_bordered/birch_planks	ctm	-38	100	-60
271	chisel:log_bordered/crimson_planks	ctm	-36	100	-60
272	chisel:log_bordered/dark_oak_planks	ctm	-34	100	-60
273	chisel:log_bordered/jungle_planks	ctm	-32	100	-60
274	chisel:log_bordered/oak_planks	ctm	-30	100	-60
275	chisel:log_bordered/spruce_planks	ctm	-28	100	-60
276	chisel:masonry/coal_block	giant	-72	100	-58
277	chisel:masonry/emerald_block	giant	-70	100	-58
278	chisel:masonry/lapis_block	giant	-68	100	-58
279	chisel:mosaic/andesite	ctm	-66	100	-58
280	chisel:mosaic/black_concrete	ctm	-64	100	-58
281	chisel:mosaic/blue_concrete	ctm	-62	100	-58
282	chisel:mosaic/bricks	ctm	-60	100	-58
283	chisel:mosaic/brown_concrete	ctm	-58	100	-58
284	chisel:mosaic/coal_block	ctm	-56	100	-58
285	chisel:mosaic/cobblestone	ctm	-54	100	-58
286	chisel:mosaic/cyan_concrete	ctm	-52	100	-58
287	chisel:mosaic/deepslate	ctm	-50	100	-58
288	chisel:mosaic/diorite	ctm	-48	100	-58
289	chisel:mosaic/end_stone	ctm	-46	100	-58
290	chisel:mosaic/glowstone	ctm	-44	100	-58
291	chisel:mosaic/granite	ctm	-42	100	-58
292	chisel:mosaic/gray_concrete	ctm	-40	100	-58
293	chisel:mosaic/green_concrete	ctm	-38	100	-58
294	chisel:mosaic/ice	ctm	-36	100	-58
295	chisel:mosaic/light_blue_concrete	ctm	-34	100	-58
296	chisel:mosaic/light_gray_concrete	ctm	-32	100	-58
297	chisel:mosaic/lime_concrete	ctm	-30	100	-58
298	chisel:mosaic/magenta_concrete	ctm	-28	100	-58
299	chisel:mosaic/nether_brick	ctm	-72	100	-56
300	chisel:mosaic/orange_concrete	ctm	-70	100	-56
301	chisel:mosaic/pink_concrete	ctm	-68	100	-56
302	chisel:mosaic/prismarine	ctm	-66	100	-56
303	chisel:mosaic/purple_concrete	ctm	-64	100	-56
304	chisel:mosaic/purpur	ctm	-62	100	-56
305	chisel:mosaic/quartz	ctm	-60	100	-56
306	chisel:mosaic/red_concrete	ctm	-58	100	-56
307	chisel:mosaic/red_sandstone	ctm	-56	100	-56
308	chisel:mosaic/redstone_block	ctm	-54	100	-56
309	chisel:mosaic/sandstone	ctm	-52	100	-56
310	chisel:mosaic/stone	ctm	-50	100	-56
311	chisel:mosaic/white_concrete	ctm	-48	100	-56
312	chisel:mosaic/yellow_concrete	ctm	-46	100	-56
313	chisel:noborder/glass	ctm	-44	100	-56
314	chisel:ornatesteel/glass	ctm	-42	100	-56
315	chisel:paneling/acacia_planks	ctm	-40	100	-56
316	chisel:paneling/birch_planks	ctm	-38	100	-56
317	chisel:paneling/crimson_planks	ctm	-36	100	-56
318	chisel:paneling/dark_oak_planks	ctm	-34	100	-56
319	chisel:paneling/jungle_planks	ctm	-32	100	-56
320	chisel:paneling/oak_planks	ctm	-30	100	-56
321	chisel:paneling/spruce_planks	ctm	-28	100	-56
322	chisel:reinforced/dirt	ctm	-72	100	-54
323	chisel:reinforcedcobble/dirt	ctm	-70	100	-54
324	chisel:shale/glass	ctm	-68	100	-54
325	chisel:shipping_crate/acacia_planks	ctm	-66	100	-54
326	chisel:shipping_crate/birch_planks	ctm	-64	100	-54
327	chisel:shipping_crate/crimson_planks	ctm	-62	100	-54
328	chisel:shipping_crate/dark_oak_planks	ctm	-60	100	-54
329	chisel:shipping_crate/jungle_planks	ctm	-58	100	-54
330	chisel:shipping_crate/oak_planks	ctm	-56	100	-54
331	chisel:shipping_crate/spruce_planks	ctm	-54	100	-54
332	chisel:slant/andesite	giant	-52	100	-54
333	chisel:slant/black_concrete	giant	-50	100	-54
334	chisel:slant/blue_concrete	giant	-48	100	-54
335	chisel:slant/bricks	giant	-46	100	-54
336	chisel:slant/brown_concrete	giant	-44	100	-54
337	chisel:slant/coal_block	giant	-42	100	-54
338	chisel:slant/cobblestone	giant	-40	100	-54
339	chisel:slant/cyan_concrete	giant	-38	100	-54
340	chisel:slant/deepslate	giant	-36	100	-54
341	chisel:slant/diorite	giant	-34	100	-54
342	chisel:slant/end_stone	giant	-32	100	-54
343	chisel:slant/glowstone	giant	-30	100	-54
344	chisel:slant/granite	giant	-28	100	-54
345	chisel:slant/gray_concrete	giant	-72	100	-52
346	chisel:slant/green_concrete	giant	-70	100	-52
347	chisel:slant/ice	giant	-68	100	-52
348	chisel:slant/light_blue_concrete	giant	-66	100	-52
349	chisel:slant/light_gray_concrete	giant	-64	100	-52
350	chisel:slant/lime_concrete	giant	-62	100	-52
351	chisel:slant/magenta_concrete	giant	-60	100	-52
352	chisel:slant/nether_brick	giant	-58	100	-52
353	chisel:slant/orange_concrete	giant	-56	100	-52
354	chisel:slant/pink_concrete	giant	-54	100	-52
355	chisel:slant/prismarine	giant	-52	100	-52
356	chisel:slant/purple_concrete	giant	-50	100	-52
357	chisel:slant/purpur	giant	-48	100	-52
358	chisel:slant/quartz	giant	-46	100	-52
359	chisel:slant/red_concrete	giant	-44	100	-52
360	chisel:slant/red_sandstone	giant	-42	100	-52
361	chisel:slant/redstone_block	giant	-40	100	-52
362	chisel:slant/sandstone	giant	-38	100	-52
363	chisel:slant/stone	giant	-36	100	-52
364	chisel:slant/white_concrete	giant	-34	100	-52
365	chisel:slant/yellow_concrete	giant	-32	100	-52
366	chisel:smooth/acacia_planks	ctm	-30	100	-52
367	chisel:smooth/birch_planks	ctm	-28	100	-52
368	chisel:smooth/crimson_planks	ctm	-72	100	-50
369	chisel:smooth/dark_oak_planks	ctm	-70	100	-50
370	chisel:smooth/jungle_planks	ctm	-68	100	-50
371	chisel:smooth/oak_planks	ctm	-66	100	-50
372	chisel:smooth/spruce_planks	ctm	-64	100	-50
373	chisel:steelframe/glass	ctm	-62	100	-50
374	chisel:stone/glass	ctm	-60	100	-50
375	chisel:sunken/deepslate	ctm	-58	100	-50
376	chisel:sunken/stone	ctm	-56	100	-50
377	chisel:weaver/andesite	ctm	-54	100	-50
378	chisel:weaver/black_concrete	ctm	-52	100	-50
379	chisel:weaver/blue_concrete	ctm	-50	100	-50
380	chisel:weaver/bricks	ctm	-48	100	-50
381	chisel:weaver/brown_concrete	ctm	-46	100	-50
382	chisel:weaver/coal_block	ctm	-44	100	-50
383	chisel:weaver/cobblestone	ctm	-42	100	-50
384	chisel:weaver/cyan_concrete	ctm	-40	100	-50
385	chisel:weaver/deepslate	ctm	-38	100	-50
386	chisel:weaver/diorite	ctm	-36	100	-50
387	chisel:weaver/end_stone	ctm	-34	100	-50
388	chisel:weaver/granite	ctm	-32	100	-50
389	chisel:weaver/gray_concrete	ctm	-30	100	-50
390	chisel:weaver/green_concrete	ctm	-28	100	-50
391	chisel:weaver/ice	ctm	-72	100	-48
392	chisel:weaver/light_blue_concrete	ctm	-70	100	-48
393	chisel:weaver/light_gray_concrete	ctm	-68	100	-48
394	chisel:weaver/lime_concrete	ctm	-66	100	-48
395	chisel:weaver/magenta_concrete	ctm	-64	100	-48
396	chisel:weaver/orange_concrete	ctm	-62	100	-48
397	chisel:weaver/pink_concrete	ctm	-60	100	-48
398	chisel:weaver/prismarine	ctm	-58	100	-48
399	chisel:weaver/purple_concrete	ctm	-56	100	-48
400	chisel:weaver/purpur	ctm	-54	100	-48
401	chisel:weaver/quartz	ctm	-52	100	-48
402	chisel:weaver/red_concrete	ctm	-50	100	-48
403	chisel:weaver/red_sandstone	ctm	-48	100	-48
404	chisel:weaver/sandstone	ctm	-46	100	-48
405	chisel:weaver/stone	ctm	-44	100	-48
406	chisel:weaver/white_concrete	ctm	-42	100	-48
407	chisel:weaver/yellow_concrete	ctm	-40	100	-48
408	chisel:zag/andesite	giant	-38	100	-48
409	chisel:zag/black_concrete	giant	-36	100	-48
410	chisel:zag/blue_concrete	giant	-34	100	-48
411	chisel:zag/bricks	giant	-32	100	-48
412	chisel:zag/brown_concrete	giant	-30	100	-48
413	chisel:zag/coal_block	giant	-28	100	-48
414	chisel:zag/cobblestone	giant	-72	100	-46
415	chisel:zag/cyan_concrete	giant	-70	100	-46
416	chisel:zag/deepslate	giant	-68	100	-46
417	chisel:zag/diorite	giant	-66	100	-46
418	chisel:zag/end_stone	giant	-64	100	-46
419	chisel:zag/granite	giant	-62	100	-46
420	chisel:zag/gray_concrete	giant	-60	100	-46
421	chisel:zag/green_concrete	giant	-58	100	-46
422	chisel:zag/ice	giant	-56	100	-46
423	chisel:zag/light_blue_concrete	giant	-54	100	-46
424	chisel:zag/light_gray_concrete	giant	-52	100	-46
425	chisel:zag/lime_concrete	giant	-50	100	-46
426	chisel:zag/magenta_concrete	giant	-48	100	-46
427	chisel:zag/orange_concrete	giant	-46	100	-46
428	chisel:zag/pink_concrete	giant	-44	100	-46
429	chisel:zag/prismarine	giant	-42	100	-46
430	chisel:zag/purple_concrete	giant	-40	100	-46
431	chisel:zag/purpur	giant	-38	100	-46
432	chisel:zag/quartz	giant	-36	100	-46
433	chisel:zag/red_concrete	giant	-34	100	-46
434	chisel:zag/red_sandstone	giant	-32	100	-46
435	chisel:zag/sandstone	giant	-30	100	-46
436	chisel:zag/stone	giant	-28	100	-46
437	chisel:zag/white_concrete	giant	-72	100	-44
438	chisel:zag/yellow_concrete	giant	-70	100	-44
